Rainfall Intensity[mu-m/sec]:Mean_Step_Accumulated
Time;5425_data
2012-06-29 16:10:00;0
2012-06-29 16:11:00;3.333
2012-06-29 16:12:00;1.667
2012-06-29 16:13:00;1.667
2012-06-29 16:14:00;1.667
2012-06-29 16:15:00;1.667
2012-06-29 16:16:00;1.111
2012-06-29 16:17:00;1.111
2012-06-29 16:18:00;1.111
2012-06-29 16:19:00;0.667
2012-06-29 16:20:00;0.667
2012-06-29 16:21:00;0.667
2012-06-29 16:22:00;0.667
2012-06-29 16:23:00;0.667
2012-06-29 16:24:00;10
2012-06-29 16:25:00;3.333
2012-06-29 16:26:00;1.667
2012-06-29 16:27:00;1.667
2012-06-29 16:28:00;0.667
2012-06-29 16:29:00;0.667
2012-06-29 16:30:00;0.667
2012-06-29 16:31:00;0.667
2012-06-29 16:32:00;0.667
2012-06-29 16:33:00;3.333
2012-06-29 16:34:00;6.667
2012-06-29 16:35:00;6.667
2012-06-29 16:36:00;6.667
2012-06-29 16:37:00;6.667
2012-06-29 16:38:00;3.333
2012-06-29 16:39:00;6.667
2012-06-29 16:40:00;6.667
2012-06-29 16:41:00;3.333
2012-06-29 16:42:00;3.333
2012-06-29 16:43:00;1.667
2012-06-29 16:44:00;1.667
2012-06-29 16:45:00;1.111
2012-06-29 16:46:00;1.111
2012-06-29 16:47:00;1.111
2012-06-29 16:48:00;1.111
2012-06-29 16:49:00;1.111
2012-06-29 16:50:00;1.111
2012-06-29 16:51:00;1.667
2012-06-29 16:52:00;1.667
2012-06-29 16:53:00;0.417
2012-06-29 16:54:00;0.417
2012-06-29 16:55:00;0.417
2012-06-29 16:56:00;0.417
2012-06-29 16:57:00;0.417
2012-06-29 16:58:00;0.417
2012-06-29 16:59:00;0.417
2012-06-29 17:00:00;0.417
