Time,node_18_total_inflow
2012-06-29 04:04:00,4.0595060796924955e-14
2012-06-29 04:05:00,9.858602737779507e-12
2012-06-29 04:06:00,-9.04654922695318e-12
2012-06-29 04:07:00,-2.938953067899005e-11
2012-06-29 04:08:00,-1.5004135910666846e-11
2012-06-29 04:09:00,-3.272433631488326e-11
2012-06-29 04:10:00,1.98473888571547e-12
2012-06-29 04:11:00,4.422710310329961e-11
2012-06-29 04:12:00,-1.624281511219388e-11
2012-06-29 04:13:00,-2.0475671694058034e-11
2012-06-29 04:14:00,1.6164787656111542e-11
2012-06-29 04:15:00,1.1777271269282005e-11
2012-06-29 04:16:00,3.4786702169306527e-12
2012-06-29 04:17:00,-3.0705445475370756e-11
2012-06-29 04:18:00,-9.653101412880253e-13
2012-06-29 04:19:00,2.29450054171235e-11
2012-06-29 04:20:00,-4.435908006040771e-11
2012-06-29 04:21:00,-1.5101320114327202e-11
2012-06-29 04:22:00,-6.274035041342786e-11
2012-06-29 04:23:00,-4.2554745412904215e-11
2012-06-29 04:24:00,-6.077725624712718e-11
2012-06-29 04:25:00,-7.758007325464483e-12
2012-06-29 04:26:00,-4.182573388764221e-11
2012-06-29 04:27:00,8.951723841116152e-12
2012-06-29 04:28:00,5.172785858599431e-12
2012-06-29 04:29:00,-6.168721172788495e-12
2012-06-29 04:30:00,-8.305307045707694e-11
2012-06-29 04:31:00,-1.777686556293901e-11
2012-06-29 04:32:00,-1.6005311982353757e-12
2012-06-29 04:33:00,3.73919653810915e-12
2012-06-29 04:34:00,-5.049448026167799e-11
2012-06-29 04:35:00,-1.5765858109119712e-11
2012-06-29 04:36:00,0.21063359521891195
2012-06-29 04:37:00,0.15443156730528587
2012-06-29 04:38:00,0.1293934683813601
2012-06-29 04:39:00,0.1109497808281237
2012-06-29 04:40:00,0.25098028137562656
2012-06-29 04:41:00,0.5115569840539147
2012-06-29 04:42:00,0.7325234914368229
2012-06-29 04:43:00,0.9657839625250507
2012-06-29 04:44:00,1.0890287673581265
2012-06-29 04:45:00,1.1538271276209153
2012-06-29 04:46:00,1.1326210816657316
2012-06-29 04:47:00,1.2015716734689939
2012-06-29 04:48:00,1.2565809190813062
2012-06-29 04:49:00,1.1406407556190572
2012-06-29 04:50:00,1.2359839362495413
2012-06-29 04:51:00,1.2090100058428919
2012-06-29 04:52:00,1.1837207480130973
2012-06-29 04:53:00,1.2970333605011484
2012-06-29 04:54:00,1.2568411806248285
2012-06-29 04:55:00,1.187857607951949
2012-06-29 04:56:00,1.2519103654991375
2012-06-29 04:57:00,1.2858344425844166
2012-06-29 04:58:00,1.2675175357301964
2012-06-29 04:59:00,1.3182607733565739
2012-06-29 05:00:00,1.2996199601890819
2012-06-29 05:01:00,1.345547178093045
2012-06-29 05:02:00,1.3949062162293635
2012-06-29 05:03:00,1.3175326044653408
2012-06-29 05:04:00,1.3705570650734162
2012-06-29 05:05:00,1.3545619556271051
2012-06-29 05:06:00,1.3952847756045077
2012-06-29 05:07:00,1.3477019823049403
2012-06-29 05:08:00,1.3888192344778032
2012-06-29 05:09:00,1.4196485555840317
2012-06-29 05:10:00,1.4837852017378739
2012-06-29 05:11:00,1.5070046639906538
2012-06-29 05:12:00,1.3985372813621748
2012-06-29 05:13:00,1.4343806404636112
2012-06-29 05:14:00,1.5158955540567747
2012-06-29 05:15:00,1.3967396966859453
2012-06-29 05:16:00,1.4820233277996955
2012-06-29 05:17:00,1.5095097338891514
2012-06-29 05:18:00,1.5863976955447283
2012-06-29 05:19:00,1.5664814922078651
2012-06-29 05:20:00,1.523053007623358
2012-06-29 05:21:00,1.5285391074294798
2012-06-29 05:22:00,1.5418571580784803
2012-06-29 05:23:00,1.640208527004173
2012-06-29 05:24:00,1.5462149049874119
2012-06-29 05:25:00,1.5589511522215336
2012-06-29 05:26:00,1.5991905233556052
2012-06-29 05:27:00,1.5961879750794536
2012-06-29 05:28:00,1.6138457788792724
2012-06-29 05:29:00,1.5959256668521389
2012-06-29 05:30:00,1.694840143287575
2012-06-29 05:31:00,1.7453861613880437
2012-06-29 05:32:00,1.9859103589618718
2012-06-29 05:33:00,2.073999275402954
2012-06-29 05:34:00,2.217649476329802
2012-06-29 05:35:00,2.410499891693525
2012-06-29 05:36:00,2.4887209064081603
2012-06-29 05:37:00,2.7406180685469477
2012-06-29 05:38:00,2.7664322077142267
2012-06-29 05:39:00,2.9276008510279623
2012-06-29 05:40:00,2.850885294534622
2012-06-29 05:41:00,3.105923328413122
2012-06-29 05:42:00,2.9945052404480457
2012-06-29 05:43:00,3.025321375538315
2012-06-29 05:44:00,3.289009104949751
2012-06-29 05:45:00,3.304111614600897
2012-06-29 05:46:00,4.662133031617179
2012-06-29 05:47:00,9.252079190012424
2012-06-29 05:48:00,14.064738542532522
2012-06-29 05:49:00,29.629176232506705
2012-06-29 05:50:00,32.874228058824855
2012-06-29 05:51:00,32.80735676589802
2012-06-29 05:52:00,30.840429882398716
2012-06-29 05:53:00,25.532857763120095
2012-06-29 05:54:00,22.267809065058845
2012-06-29 05:55:00,20.78628784887442
2012-06-29 05:56:00,18.792209822737092
2012-06-29 05:57:00,18.833013196981625
2012-06-29 05:58:00,24.403330628324024
2012-06-29 05:59:00,33.64640049647204
2012-06-29 06:00:00,35.797381273282014
2012-06-29 06:01:00,33.654403817916595
2012-06-29 06:02:00,33.73334448264395
2012-06-29 06:03:00,32.51425093841303
2012-06-29 06:04:00,31.43199704991234
2012-06-29 06:05:00,27.31709174632178
2012-06-29 06:06:00,24.896766972471394
2012-06-29 06:07:00,22.230813257381495
2012-06-29 06:08:00,21.91578672170629
2012-06-29 06:09:00,22.244573538391247
2012-06-29 06:10:00,19.917362181255978
2012-06-29 06:11:00,21.668000040332437
2012-06-29 06:12:00,19.603249829338488
2012-06-29 06:13:00,21.720753905858945
2012-06-29 06:14:00,21.21894933242883
2012-06-29 06:15:00,23.551458380217554
2012-06-29 06:16:00,28.93144512880755
2012-06-29 06:17:00,45.196838872613256
2012-06-29 06:18:00,64.4295592262081
2012-06-29 06:19:00,67.32864924145677
2012-06-29 06:20:00,63.27484715456956
2012-06-29 06:21:00,55.39199440705923
2012-06-29 06:22:00,47.07352380278785
2012-06-29 06:23:00,41.823575761570844
2012-06-29 06:24:00,43.55528728781814
2012-06-29 06:25:00,39.603996018798114
2012-06-29 06:26:00,39.55231946041355
2012-06-29 06:27:00,38.24671308119181
2012-06-29 06:28:00,38.28221624087545
2012-06-29 06:29:00,37.33978674027945
2012-06-29 06:30:00,40.53370482340864
2012-06-29 06:31:00,38.474846179767646
2012-06-29 06:32:00,39.73972146792169
2012-06-29 06:33:00,38.41759203847219
2012-06-29 06:34:00,37.43901736360511
2012-06-29 06:35:00,37.83795158257762
2012-06-29 06:36:00,37.301937698533514
2012-06-29 06:37:00,37.836540512682035
2012-06-29 06:38:00,37.22044124975084
2012-06-29 06:39:00,37.199288709228796
2012-06-29 06:40:00,35.76563306445394
2012-06-29 06:41:00,36.384355978200915
2012-06-29 06:42:00,39.331964696826816
2012-06-29 06:43:00,36.39362667670378
2012-06-29 06:44:00,35.851789377538935
2012-06-29 06:45:00,38.3953004851744
2012-06-29 06:46:00,40.65673130080447
2012-06-29 06:47:00,36.138793809048835
2012-06-29 06:48:00,37.24430746256052
2012-06-29 06:49:00,36.505563226189444
2012-06-29 06:50:00,34.965496252704625
2012-06-29 06:51:00,37.83377212169623
2012-06-29 06:52:00,36.73280502322042
2012-06-29 06:53:00,37.036688317702776
2012-06-29 06:54:00,36.323918299368486
2012-06-29 06:55:00,40.176079797051656
2012-06-29 06:56:00,52.039447495837365
2012-06-29 06:57:00,46.97286532723901
2012-06-29 06:58:00,42.25690423704584
2012-06-29 06:59:00,41.12103152399052
2012-06-29 07:00:00,43.34434283758861
2012-06-29 07:01:00,40.28659039589468
